,post_url,account,like_count,comment_count,share_count,caption,hashtags,comments,date_posted,date_collect
0,https://www.tiktok.com/@tmovisuals/video/7212084020258131246,tmovisuals,315.4K,9304,123,Gift for @rug ! Day 41,"['#chugrug', '#xyzbca', '#fazerug', '#brawadis', '#fyp', '#notviral', '#overrated']","['noah', 'Alex', 'Katherine', 'Taylor', 'angel', 'Jayden', 'benny', 'Naomi', 'Dylan', 'katie', 'Christian', 'Jace', 'Brayden', 'sophia', 'Victor', 'kayden', 'Joseph', 'Vicky', 'amber', 'Luke']",1d ago,2023-03-20
1,https://www.tiktok.com/@16yq27269d9/video/7211129524799671557,16yq27269d9,1.7M,3743,1267,,"['#fyp', '#flim', '#movie', '#foryou', '#911calls', '#storytime']","['""Do not approach the vehicle.""\nImmediately approaches the vehicle:', 'THE CALL', 'she rlly had to approach it and make it suspicious💀💀💀', '”good girl🐕”', 'The movie is called the call', 'TRACK THE CRLL PHONE BRUH???', 'She made so obvious😭', 'but NO the woman had to GET A CLOSER LOOK', 'OFC HES GETTING OF IF U APPROCH THE VECHILE 💀🥶', 'SHE LOST A BRACELET😭', 'Movie: The call', 'the Blonde is Blonding', 'the bracelet fell :(', 'The Movies Name is the Call you Can Watch it on Netflix💗', 'TRACK THE CELLPHONE????', 'i love this movie', '“He’s gonna bury me im gonna d1e 😭😭” “What’s your favourite movie?”', 'this movie left me traumatized', 'The movie is called the call and it’s on youtube for free', '“What’s your favourite movie?” LET HER COOK 🗣️🗣️🗣️🔥🔥🔥🔥']",4d ago,2023-03-20
2,https://www.tiktok.com/@annemarie/video/7211194644091407621,annemarie,164K,1241,747,Nah jazz saying water gets me,[],"['😂😂 Anne Marie pls say a bottle of water pls😏😅', 'Who the hell says ""Ee-volution""???', 'Love this 😂', 'CAF? Who on Earth says CAF? 😂😂😂', 'She lovely?)) @Cindy', 'I do not say eve-alution', 'Can I have a glass of ✨WA-ER✨', '“ProNUNciations”', 'Is it only me who’s from the uk and pronounces cafe like an American', 'this is why I LOVE Anne-Marie, look how child like and fun she is🥺', 'wait i thought jazz was british im-', 'I simply cannot get over how CUTE you both are! 🥰🥰🥰🥰', 'Water 😂😂😂😂', 'The british accent is my favorite ❤🇬🇧💓', '😂😂😂😂😂❤️', '@flora wa-her 😭', '😂', '😂😂😂😂', 'I love American pronunciation 🥰♥️♥️', 'actions']",4d ago,2023-03-20
3,https://www.tiktok.com/@khaby.lame/video/7190422277069081862,khaby.lame,2.7M,20.7K,6085,Rule n.1 NEVER PISS OFF YOUR MOM!R.I.P. Khaby Lame 🪦💀#mum,['#dontlearnfromkhaby'],"['ooh noooo 😁😂😁 🙃', '😂', '😂😂😂', '😂😂😂', '😂😂😂😂', '😂😂😂😂😂', '😂', '😂😂', '😂😂😂😂😂', '😁😁', '😂😂😂', '😂😂😂😂😂😂', '🥺', '😂😂😂', '🥰😂', '😁😁😁', '😂😊', '😎😎😎', '🥰', '😂😂🥰']",1-19,2023-03-20
4,https://www.tiktok.com/@aeriebmarie/video/7201946642357046574,aeriebmarie,54.3K,241,903,Like if i could i would bro,[],"['Drink ensure plus', 'oh and dairy', 'Like bruh, IT’S NOT WORKING😂😂', ""i seriously can't gain weight 😪"", 'yoooo!!! like I\'m eating 24/7... what do you mean ""eat more""!!!!😂😂😂', 'its called high METABOLISMMM n brooo we cant gain weighttt😭', 'it’s not working🥺😩', '😂😅😅😂😂story of my life “eat more eggs and do squats” 🙄🙄🙄girl please', 'Cipla Actin my love', 'I eat a lot . I just burn it off too fast 😂😂😂 it don’t work lol', 'i really dont understand this world', 'Fr and they be like “ omg ur so skinyyy do they feed u”', 'Hi', 'As if I never thought to eat to gain. I’ve a high metabolism, lost 20 lbs in 12 dr visits. Stomach flu and I lost 9 more. Mum calls me Scary Skinny!!!', 'same here', 'Oatmeal with banana works', '☹️', ""It's so funny, I Can't stop"", 'By the way gaining weight is so hard I gave up am stuck with 48 some times 50kg', '😩😭😭😭']",2-19,2023-03-20
5,https://www.tiktok.com/@ebysvs/video/7182815954995367170,ebysvs,79.7K,157,32,and it ‘twas | her dancing vids always hit different | @charli d’amelio |,"['#ebysvs', '#fy', '#charlidamelio', '#2019', '#ilysm', '#viral']","['i miss those times so much 🥲', 'I thought that place was only for actors', ""I've put many of Charli's old videos in my favorites, there are 66M views where he's dancing now and 792K🥲😖"", 'Can i remake this?💕', 'Someone tag me in it please', 'Omg🥺', 'tag me on that vid please!!🫶', 'Timmy', '200 MILLION?!??', 'Bro she’s so amazing 😍', 'ahere i can watch this video', 'Charli uses het acc now only to make ads', 'it has to be her breathing', 'go go go has 300M', 'Tag me in the video', 'I REMEMBER THAT', 'nostalgia', 'I thn it was the ne with dance wit Joyce r mth', 'None of the people that got famous for dancing dance anymore']",2022-12-30,2023-03-20
6,https://www.tiktok.com/@daniamdz/video/7212442452370787589,daniamdz,37K,822,323,ASI FUE EL REGRESO DE DANIA A LA CASA DE LOS FAMOSOS 3 🫶🏻 Gracias team dania ✨👑,[],"['QUEEN!!!!', '🇧🇷❤️', 'TEAM DANIA 🇧🇷Brasil estás con Dania 🇧🇷', 'toda una Reina buchi 😍', 'Solo osmel se alegro🥺', 'no importa nosotros si la queremos y con ella hasta el final arriba mi Buchi rifandola como siempre 🥰🥰🥰', 'Pobrecita ella toda emocionada y los otros como estatuas.🥺', 'Llegó la patrona 👑', 'llegó la ganadora de la casa de los famosos @daniamdz', 'Definitivamente la recibieron mejor en Brasil, aquí ni la puerta le abrieron. 😢', 'te amamos Buchi💜💜💜💜 me va dar un ataque de tanto defenderte de los envidiosos 🤣', '🥰🥰🥰dania nuestra ganadora', 'Amo ❤️', 'Será a vencedora de La Casa de los Famosos! E ainda será muito famosa no Brasil!', 'Llego a levantar el programa, la buchi 🥰🥰... que hermosa', 'ni para abrir la puerta!!! muy mal', 'Dania es la alegria de esa casa 🥰', 'ya te extrañamos Dania 🇧🇷❤️', 'que gusto oirla hablar así...aprendió de la experiencia y entendió que los tres participaron cada uno bajo su responsabilidad,educación,y valores 👏👏', 'além de lindíssima! é muito querida a Dania.🥰👏🏻👏🏻👏🏻']",22h ago,2023-03-20
7,https://www.tiktok.com/@seafalkhateeb/video/7209011092083723522,seafalkhateeb,73.4K,267,553,مش مجرد اغنية ولله😂😂لا تفوتكم يومياتي بالستوري✨,"['#سيف_الخطيب', '#amman', '#egypt']","['@dareen..2009 @fina.fun7 😂😂😂😂😂', '🥰😂😂😂😂😂😂😂😂😂😂😂', '@we_jdan2009 😭😂💔', '🥰😂😂😂😂', '😂😂😂😂', '😂😂😂😂😂😂', '😂😂😂', '🥰🥰🥰🥰😂😂😂😂', '@mr.fayezismael888 3melna?😂', '🥰🥰🥰🥰🥰🥰', '@xx_aqmr_xx 😂😂', '@ghena.princess 😂😂😂😂😂😂😂😂', '@😂😂😂😂@user1684850926835', '@teamaldooon 😂 😂 😂 😂 😂', '@palestinian145 @user76208188666980 😂😅', 'التيك توك برعايتكم ههه\u200dهه\u200dه\u200dه', 'اردني ولا مصريي؟', '😂😂😂😂😂اهضم ناس ولله', 'بقلدو حدا بس مش متذكرتهم 🧐🤨🧐🧐', 'شو جمعكوا مع بعض']",3-10,2023-03-20
8,https://www.tiktok.com/@julianorozco6509/video/7209519483285736710,julianorozco6509,25.4K,923,78,,[],"['👍👍👍', '❤🙏🇬🇪🇬🇪', 'Love from Nepal 🇳🇵', 'saloudos champion 🥰🥰', 'she is the cutest ☺️', 'Love and respect from Afghanistan 🇦🇫. You guys are great 👍', '🥇👍🇦🇺', 'gracias.pero la verdad no sé cómo se hace . tenemos como 15 días en tik tok .pero gracias por su consejo saludos', 'hey man saludos desde el salvador', 'por más personas como tú mi hermano saludos desde Venezuela...', '@José Ramos:mándamele un saludos a mis niños José , Santiago, y Liat Nicole en Maturín Venezuela 🇻🇪', '🥰🥰🥰', 'Q Dios los bendiga mucho', 'me saludas asta Guanajuato me llamo Alexis', 'saludos desde mi país Costa Rica,yo en particular me conformo con ver la buena actitud.', 'Saludos Y bendiciones Amigaso', 'saludos desde Venezuela sanfracisco el bajo hermano', 'que bonito enserio como es de hermosa la humildad de esta familia que bonito 💕', 'saludos desde peru', 'saludos desde la mitad del mundo ecuador']",3-11,2023-03-20
9,https://www.tiktok.com/@tmovisuals/video/7212084020258131246,tmovisuals,316.8K,9334,123,Gift for @rug ! Day 41,"['#chugrug', '#xyzbca', '#fazerug', '#brawadis', '#fyp', '#notviral', '#overrated']","['noah', 'benny', 'Alex', 'Katherine', 'Taylor', 'Jayden', 'angel', 'Naomi', 'Dylan', 'sophia', 'Jace', 'Brayden', 'kayden', 'Vicky', 'colin', 'zion', 'Tyson', 'Kevin', 'Dylan', 'amber']",1d ago,2023-03-20
